Person;Data;Amostra_aula;Amostra;Site;Latitude;Longitude;Especie;Sepal_lenght_cm;Sepal_width ;Petal_lenght;Petal_width
Juan;13/02/1930;A25;A41;Site2;48.540502;-64.766512;Iris setosa;5;3.5;1.3;0.3
Juan;13/02/1930;A26;A44;Site2;48.540502;-64.766512;Iris setosa;5;3.5;1.6;0.6
Juan;13/02/1930;A27;A47;Site2;48.540502;-64.766512;Iris setosa;5.1;3.8;1.6;0.2
Juan;13/02/1930;A28;A50;Site2;48.540502;-64.766512;Iris setosa;5;3.3;1.4;0.2
Juan;13/02/1930;A29;A2;Site2;48.540502;-64.766512;Iris setosa;4.9;3;1.4;0.2
Juan;13/02/1930;A30;A5;Site2;48.540502;-64.766512;Iris setosa;5;3.6;1.4;0.2
Juan;13/02/1930;A31;A8;Site2;48.540502;-64.766512;Iris setosa;5;3.4;1.5;0.2
Juan;13/02/1930;A32;A11;Site2;48.540502;-64.766512;Iris setosa;5.4;3.7;1.5;0.2
Juan;13/02/1930;A33;A14;Site2;48.540502;-64.766512;Iris setosa;4.3;3;1.1;0.1
Jonathan;12/01/1929;A41;A40;Site3;48.329837;-65.512333;Iris setosa;5.1;3.4;1.5;0.2
Jonathan;12/01/1929;A42;A43;Site3;48.329837;-65.512333;Iris setosa;4.4;3.2;1.3;0.2
Jonathan;12/01/1929;A43;A46;Site3;48.329837;-65.512333;Iris setosa;4.8;3;1.4;0.3
Jonathan;12/01/1929;A44;A49;Site3;48.329837;-65.512333;Iris setosa;5.3;3.7;1.5;0.2
Jonathan;12/01/1929;A45;A1;Site3;48.329837;-65.512333;Iris setosa;5.1;3.5;1.4;0.2
Jonathan;12/01/1929;A46;A4;Site3;48.329837;-65.512333;Iris setosa;4.6;3.1;1.5;0.2
Jonathan;12/01/1929;A47;A7;Site3;48.329837;-65.512333;Iris setosa;4.6;3.4;1.4;0.3
Jonathan;12/01/1929;A48;A10;Site3;48.329837;-65.512333;Iris setosa;4.9;3.1;1.5;0.1
Jonathan;12/01/1929;A49;A13;Site3;48.329837;-65.512333;Iris setosa;4.8;3;1.4;0.1
Jonathan;12/01/1929;A50;A16;Site3;48.329837;-65.512333;Iris setosa;5.7;4.4;1.5;0.4
Juan;01/12/1929;A34;A19;Site3;48.329837;-65.512333;Iris setosa;5.7;3.8;1.7;0.3
Juan;01/12/1929;A35;A22;Site3;48.329837;-65.512333;Iris setosa;5.1;3.7;1.5;0.4
Juan;01/12/1929;A36;A25;Site3;48.329837;-65.512333;Iris setosa;4.8;3.4;1.9;0.2
Juan;01/12/1929;A37;A28;Site3;48.329837;-65.512333;Iris setosa;5.2;3.5;1.5;0.2
Juan;01/12/1929;A38;A31;Site3;48.329837;-65.512333;Iris setosa;4.8;3.1;1.6;0.2
Juan;01/12/1929;A39;A34;Site3;48.329837;-65.512333;Iris setosa;5.5;4.2;1.4;0.2
Juan;01/12/1929;A40;A37;Site3;48.329837;-65.512333;Iris setosa;5.5;3.5;1.3;0.2
